island,year,n_stations,tmed_annual,tmin_annual,tmax_annual,anom_tmed,anom_tmin,anom_tmax,prec_annual,hr_media_annual,hr_min_annual,hr_max_annual,velmedia_annual,racha_mean_annual,sol_annual,pres_min_annual,pres_max_annual,tropical_nights_annual,equatorial_nights_annual,torrid_nights_annual,warm_days_30,warm_days_35
Lanzarote,2019,5,19.59313399778516,16.274473975636766,22.914784053156147,-0.45845280615389683,-0.4258399590213884,-0.4875555906080429,51.24305478693968,70.41795154185021,54.29743402178603,87.59236243851126,5.625992238740425,12.468775054076701,3043.9,1014.6475274725275,1017.9307692307692,41.8,0,0,10.9,0.8
Lanzarote,2020,5,20.284678747940692,16.79357495881384,23.77589236683141,0.2330919440016359,0.09326102415568371,0.3735527230672204,72.4693698630137,67.77972602739726,50.69375816941401,86.64587607708827,5.353429407349693,12.18312407365199,3153.3,1014.4768595041322,1017.9650137741047,61.2,0.6,0,21.4,2
Lanzarote,2021,5,19.699556786703603,16.28487534626039,23.110249307479226,-0.35203001723545313,-0.41543858839776604,-0.2920903362849643,100.0600996126176,70.52954168967422,54.49577268312084,87.59027072939732,5.494911066062446,12.238251650171874,3174.3,1014.1035616438356,1017.4334246575343,41.2,0.8,0,16.3,3
Lanzarote,2022,5,20.377636664826063,16.976642738818335,23.77907233572612,0.32604986088700727,0.2763288041601797,0.37673269196193004,134.05124515772,69.45569620253164,53.12944002034127,86.51058235280112,5.53310104806353,12.346723524637216,3220.0999999999995,1013.7787292817678,1017.2450276243094,58.1,0.4,0,20.4,2.2
Lanzarote,2023,5,21.010225398570643,17.408466190214405,24.61110500274876,0.9586385946315872,0.70815225555625,1.2087653589845715,67.36651860077735,68.18201754385964,51.55689910003606,86.1869251412463,5.162828158158274,11.90389796606902,3228.1,1014.101095890411,1017.3912328767123,88.8,2.4,0,40.8,5.8
Lanzarote,2024,5,20.627982407916438,17.31605277625069,23.93815283122595,0.5763956039773817,0.6157388415925347,0.5358131874617591,59.07558968732858,68.69698630136986,52.38534400759058,86.08554903405712,5.660043165369923,12.510871086419677,3136.9000000000005,1013.934699453552,1017.2795081967213,57.2,0.2,0,14.8,0.4
Lanzarote,2025,5,20.128021978021977,16.809505494505494,23.44923076923077,0.07643517408292055,0.10919155984733919,0.04689112546657981,137.41502476609796,71.86028602860286,56.35189918123786,87.85008160703353,5.415244289541923,12.160729807767657,3028.5,1014.0687671232876,1017.4742465753424,63.5,1.6,0,19,5.2
Tenerife,2015,5,17.360694597574422,14.009812568908488,20.708599779492836,-0.3186314500714822,-0.372037135520662,-0.26771547522965733,407.31997786386273,58.670339761248854,42.46630153098875,77.2515970284385,3.9120280627067388,10.38540119628538,3802.9,770.09010989011006,772.8903846153845,33.4,0.4,0,8,0
Tenerife,2016,5,17.24915919282511,13.98054932735426,20.521132286995513,-0.43016685482079353,-0.4013003770748913,-0.4551829677269801,333.56951151038743,63.289970930232556,46.88123499920927,81.11936857604795,3.864374274598881,10.164816727798987,3828.7,769.5674863387978,772.4887978142076,15.2,0,0,5,0.8
Tenerife,2017,5,17.8771332961517,14.56207473508087,21.192526491912997,0.19780724850579645,0.18022503065171946,0.21621123719050317,191.52925472747495,60.63616714697406,44.755198693492495,78.19734092517697,3.98849192170658,10.465856001297606,3857.2999999999997,769.7241095890411,772.5120547945205,28.3,0.2,0,12.2,0.8
Tenerife,2018,5,16.732834994462902,13.57259676041175,19.891915836101884,-0.9464910531830029,-0.8092529440174001,-1.0843994186206096,380.2728242560359,64.93888888888888,48.75062411778649,82.00258487982101,4.188299048395792,10.609146946255137,3808.2,768.6797260273972,771.7134246575343,14.3,0,0,2.6,0
Tenerife,2019,5,17.346188091263215,14.057095158597663,20.631942125765164,-0.3331379563826893,-0.3247545458314871,-0.3443731289573293,266.9024013722127,57.08688245315162,42.01016854760148,74.70365533574605,3.8724182663319446,9.994445251934062,4005.7,769.6534246575343,772.3690410958905,14.8,0,0,3.2,0
Tenerife,2020,5,17.93141131246568,14.555793520043931,21.30521691378364,0.252085264819776,0.17394381561478056,0.3289016590611453,263.45233644859815,57.45191409897292,40.44267822257787,75.71838898958276,3.975796631765553,11.732979797979798,3793.7,769.7523287671233,772.8358904109589,29.5,0.4,0,10.4,0.6
Tenerife,2021,5,17.442715777899945,14.149477735019243,20.737713029136888,-0.23661026974595956,-0.23237196940990756,-0.2386022255856055,248.04581497797355,57.476765799256505,41.49684655625944,74.94816137050269,4.7860419261104195,11.167226461186882,3872.1,769.2821917808219,772.1717808219179,19.8,0,0,6.6,0.6
Tenerife,2022,5,17.80043859649123,14.54325657894737,21.05641447368421,0.12111254884532485,0.1614068745182191,0.0800992189617169,402.6050521691378,58.32965009208103,42.0297488134426,76.50669084440227,5.206597546289327,12.287654320987656,3774.2999999999997,769.0589041095891,772.0534246575343,25.8,0.2,0,7,0
Tenerife,2023,5,18.593029637760704,15.140175631174534,22.04676180021954,0.9137035901147996,0.7583259267453837,1.0704465454970453,269.83768513439384,56.928901200369346,40.5054929273011,76.22202519262085,4.706089286388166,11.13519117868433,3808.9,770.1175342465754,772.8654794520548,55.8,3.6,0,23.4,3.4
Tenerife,2024,5,18.454530477759473,15.103020318506314,21.803789126853374,0.7752044301135683,0.7211706140771632,0.8274738721308807,180.54770844837108,55.06870937790158,39.29255584459433,73.55331998127643,4.976381215469614,11.809668508287293,3883.5999999999995,769.9120218579235,772.7445355191256,27.9,0.4,0,8.8,0.4
Tenerife,2025,5,17.68445054945055,14.526494414676232,20.84345593800139,0.00512450180464441,0.14464471024708203,-0.13285931672110252,345.22824889867843,58.58394833948339,42.93581104989132,76.46050144063084,4.76154761904762,11.277277237209105,3977.3,769.4465753424657,772.3512328767124,33.9,1.2,0,8.6,0.6
