year,territory_code,units,value,indicator_id,territory_name,level
2018,ES,Porcentaje,28.02,ods_15_1_2_A,España,pais
2021,ES,Porcentaje,28.05,ods_15_1_2_A,España,pais
2015,ES70,Porcentaje,49.35,ods_15_1_2_A,Canarias,canarias
2018,ES70,Porcentaje,49.31,ods_15_1_2_A,Canarias,canarias
2021,ES70,Porcentaje,49.31,ods_15_1_2_A,Canarias,canarias
2015,ES,Porcentaje,11.93,ods_15_1_2_B,España,pais
2018,ES,Porcentaje,11.98,ods_15_1_2_B,España,pais
2021,ES,Porcentaje,11.98,ods_15_1_2_B,España,pais
2015,ES70,Porcentaje,14.57,ods_15_1_2_B,Canarias,canarias
2018,ES70,Porcentaje,14.52,ods_15_1_2_B,Canarias,canarias
2021,ES70,Porcentaje,14.52,ods_15_1_2_B,Canarias,canarias
2015,ES,Porcentaje,40.1,ods_15_1_2_C,España,pais
2018,ES,Porcentaje,39.82,ods_15_1_2_C,España,pais
2021,ES,Porcentaje,39.88,ods_15_1_2_C,España,pais
2015,ES70,Porcentaje,82.29,ods_15_1_2_C,Canarias,canarias
2018,ES70,Porcentaje,82.26,ods_15_1_2_C,Canarias,canarias
2021,ES70,Porcentaje,82.26,ods_15_1_2_C,Canarias,canarias
2015,ES,Porcentaje,37.3,ods_15_1_2_D,España,pais
2018,ES,Porcentaje,37.24,ods_15_1_2_D,España,pais
2021,ES,Porcentaje,37.3,ods_15_1_2_D,España,pais
2015,ES70,Porcentaje,49.78,ods_15_1_2_D,Canarias,canarias
2018,ES70,Porcentaje,49.97,ods_15_1_2_D,Canarias,canarias
2021,ES70,Porcentaje,49.97,ods_15_1_2_D,Canarias,canarias
2015,ES,Porcentaje,74.17,ods_15_1_2_E,España,pais
2018,ES,Porcentaje,73.22,ods_15_1_2_E,España,pais
2021,ES,Porcentaje,73.2,ods_15_1_2_E,España,pais
2015,ES70,Porcentaje,63.79,ods_15_1_2_E,Canarias,canarias
2018,ES70,Porcentaje,63.57,ods_15_1_2_E,Canarias,canarias
2021,ES70,Porcentaje,63.57,ods_15_1_2_E,Canarias,canarias
2015,ES,Porcentaje,6.27,ods_15_1_2_F,España,pais
2018,ES,Porcentaje,6.79,ods_15_1_2_F,España,pais
2021,ES,Porcentaje,6.64,ods_15_1_2_F,España,pais
2015,ES70,Porcentaje,4.51,ods_15_1_2_F,Canarias,canarias
2018,ES70,Porcentaje,4.49,ods_15_1_2_F,Canarias,canarias
2021,ES70,Porcentaje,4.49,ods_15_1_2_F,Canarias,canarias
2015,ES,Porcentaje,58.92,ods_15_1_2_G,España,pais
