indicativo,nombre,island,year,n_days,n_temp,n_prec,pct_temp,pct_prec,tmed_annual,tmin_annual,tmax_annual,prec_annual,tropical_nights_annual,equatorial_nights_annual,torrid_nights_annual,warm_days_30,warm_days_35,use_for_annual,baseline_tmed,baseline_tmin,baseline_tmax,anom_tmed,anom_tmin,anom_tmax
C239N,"TUINEJE,PUERTO GRAN TARAJAL",Fuerteventura,2021,365,364,363,0.9972602739726028,0.9945205479452055,21.378296703296705,17.843131868131866,24.912087912087912,10.200000000000001,103,4,0,34,5,TRUE,21.92010946377949,18.369653354141395,25.47018966698008,-0.5418127604827845,-0.5265214860095284,-0.5581017548921672
C239N,"TUINEJE,PUERTO GRAN TARAJAL",Fuerteventura,2022,365,365,364,1,0.9972602739726028,21.95945205479452,18.475342465753425,25.442465753424656,113.4,136,3,0,31,6,TRUE,21.92010946377949,18.369653354141395,25.47018966698008,0.039342591015032014,0.10568911161202976,-0.027723913555423252
C239N,"TUINEJE,PUERTO GRAN TARAJAL",Fuerteventura,2023,365,365,365,1,1,22.58082191780822,19.008219178082193,26.158356164383562,45.4,152,14,0,57,10,TRUE,21.92010946377949,18.369653354141395,25.47018966698008,0.6607124540287295,0.6385658239407981,0.6881664974034827
C239N,"TUINEJE,PUERTO GRAN TARAJAL",Fuerteventura,2024,366,366,366,1,1,22.22377049180328,18.675956284153006,25.768852459016394,21.8,130,1,0,33,2,TRUE,21.92010946377949,18.369653354141395,25.47018966698008,0.30366102802378947,0.30630293001161135,0.2986627920363141
C239N,"TUINEJE,PUERTO GRAN TARAJAL",Fuerteventura,2025,365,364,363,0.9972602739726028,0.9945205479452055,21.65302197802198,18.111263736263737,25.1989010989011,76.4,124,7,0,33,8,TRUE,21.92010946377949,18.369653354141395,25.47018966698008,-0.26708748575751073,-0.2583896178776577,-0.2712885680789796
C248E,ANTIGUA,Fuerteventura,2015,324,312,306,0.9629629629629629,0.9444444444444444,19.031089743589742,14.951282051282051,23.1125,34.4,20,0,0,17,4,TRUE,19.756366012556587,15.593531221501959,23.918967612873402,-0.7252762689668444,-0.6422491702199071,-0.8064676128734014
C248E,ANTIGUA,Fuerteventura,2016,364,357,356,0.9807692307692307,0.978021978021978,19.425770308123248,15.301120448179272,23.550420168067227,104.6,16,0,0,23,4,TRUE,19.756366012556587,15.593531221501959,23.918967612873402,-0.33059570443333897,-0.29241077332268617,-0.3685474448061754
C248E,ANTIGUA,Fuerteventura,2017,357,295,296,0.8263305322128851,0.8291316526610645,19.83864406779661,15.460677966101695,24.21627118644068,122.4,17,1,0,27,5,TRUE,19.756366012556587,15.593531221501959,23.918967612873402,0.08227805524002463,-0.1328532554002635,0.29730357356727666
C248E,ANTIGUA,Fuerteventura,2018,365,348,353,0.9534246575342465,0.9671232876712329,19.012356321839082,15.075287356321839,22.954597701149424,137,8,0,0,18,0,TRUE,19.756366012556587,15.593531221501959,23.918967612873402,-0.7440096907175047,-0.5182438651801196,-0.9643699117239777
C248E,ANTIGUA,Fuerteventura,2019,356,351,352,0.9859550561797753,0.9887640449438202,19.41994301994302,15.23019943019943,23.61082621082621,88.8,10,2,0,15,2,TRUE,19.756366012556587,15.593531221501959,23.918967612873402,-0.3364229926135671,-0.363331791302528,-0.3081414020471911
C248E,ANTIGUA,Fuerteventura,2020,358,349,350,0.9748603351955307,0.9776536312849162,20.009169054441262,15.797134670487106,24.22779369627507,46.4,18,2,0,30,3,TRUE,19.756366012556587,15.593531221501959,23.918967612873402,0.2528030418846754,0.20360344898514704,0.3088260834016694
C248E,ANTIGUA,Fuerteventura,2021,365,357,364,0.9780821917808219,0.9972602739726028,19.469747899159664,15.384593837535014,23.55826330532213,21.6,14,2,0,25,3,TRUE,19.756366012556587,15.593531221501959,23.918967612873402,-0.2866181133969228,-0.20893738396694417,-0.3607043075512735
C248E,ANTIGUA,Fuerteventura,2022,364,363,363,0.9972527472527473,0.9972527472527473,20.045454545454547,15.877961432506886,24.20495867768595,130.4,22,1,0,22,2,TRUE,19.756366012556587,15.593531221501959,23.918967612873402,0.28908853289796,0.2844302110049277,0.2859910648125492
C248E,ANTIGUA,Fuerteventura,2023,365,364,365,0.9972602739726028,1,20.863186813186815,16.46785714285714,25.25631868131868,47,49,3,0,48,8,TRUE,19.756366012556587,15.593531221501959,23.918967612873402,1.1068208006302278,0.87432592135518306,1.3373510684452796
C248E,ANTIGUA,Fuerteventura,2024,366,365,365,0.9972677595628415,0.9972677595628415,20.429041095890412,16.233698630136985,24.618356164383563,50.4,17,0,0,19,0,TRUE,19.756366012556587,15.593531221501959,23.918967612873402,0.6726750833338251,0.6401674086350262,0.699388551510161
C248E,ANTIGUA,Fuerteventura,2025,365,361,362,0.989041095890411,0.9917808219178083,19.775623268698062,15.749030470914127,23.798337950138503,137.2,28,1,0,23,4,TRUE,19.756366012556587,15.593531221501959,23.918967612873402,0.019257256141475665,0.15549924941216808,-0.12062966273489906
